"stationcode","yr","d_asci","csci","ipi","xcmg","pct_safn","ev_flowhab","h_aqhab","h_subnat","xcmg","tn","tp","blc","bs","hy","indexscore_cram","ps","comid"
"402M00005","2015","0.9166406141324956","0.9265801","1","0.64","0.77","0.78","0.73","0.97","0.64","0.0","0.005","100","77.78","91.67","89","87.5","17585758"
"402M00015","2016","0.7590357598460471","0.70618774","0.97","0.73","0.97","0.18","0.84","1","0.73","0.28","0.0031","86.42","80.56","75","76","62.5","948070366"
"402M00029","2016","0.5455514783073717","0.35481957","0.93","0.56","0.96","0.3","0.96","0.93","0.56","0.58","0.017","82.92","61.11","75","67","50","17587720"
"402M00030","2017","1.0854158216606122","0.63105034","0.91","0.36","0.88","1","0.72","0.81","0.36","2.1","0.005","100","47.22","91.67","72","50","17586682"
"402M00042","2017","1.081665466654845","0.66925225","0.91","0.48","0.76","0.62","0.83","0.97","0.48","0.0","0.0075","90.29","52.78","75","70","62.5","17586550"
"402M00046","2017","0.8594588502613948","0.75998142","0.75","0.35","1","0.52","0.62","0.58","0.35","0.67","0.0019","93.29","36.11","91.67","71","62.5","17586760"
"402M00058","2019","1.3009746471425163","0.74503991","0.81","0.33","0.81","0.66","0.62","0.93","0.33","0.0","0.0034","90.29","55.56","83.33","67","37.5","17586634"
"402M00110","2019","0.9209608124384209","0.85991575","0.75","0.21","0.75","0.73","0.61","0.92","0.21","0.0","0.0014","93.29","44.44","91.67","70","50","17586760"
"402M00127","2019","0.7982455730095104","0.67208205","0.97","0.5","0.9","1","0.66","0.88","0.5","0.24","0.011000000000000001","90.29","61.11","58.33","68","62.5","17586736"
"403M01500","2016","0.7789143183887091","0.43150489","0.41","0.01","0.04","1","0.52","0.29","0.01","4.6","0.015","62.5","25","41.67","39","25","17573685"
"403M01522","2016","0.6677073160546533","0.40015611","0.82","0.66","0.21","0.72","0.96","0.55","0.66","0.49","0.046","86.42","77.78","66.67","70","50","17574677"
"403M01528","2016","0.5736903259453197","0.37462963","0.61","0.29","0.06","0.97","0.77","0.39","0.29","7.7","0.086","90.29","58.33","66.67","66","50","17573685"
"403M01538","2017","0.9314838359236245","0.82583116","0.85","0.52","0.73","0.6","0.59","0.93","0.52","0.44","0.034","90.29","58.33","75","72","62.5","17574757"
"403M01553","2017","0.762397560937154","1.003965","0.94","0.56","0.77","0.75","0.91","0.73","0.56","0.0","0.01","86.42","72.22","66.67","72","62.5","17574519"
"403M01560","2019","0.6985573269569386","0.44703778","0.6","0.52","0.13","0.46","0.92","0.21","0.52","0.74","0.015","93.29","52.78","50","58","37.5","17573709"
"403M01571","2019","0.8597307836313898","0.91487305","0.88","0.28","0.78","0.85","0.8","1","0.28","0.0","0.0","96.54","72.22","100","83","62.5","17567763"
"403M01580","2019","0.5664319383753273","0.54860281","0.56","0.47","0.25","0.43","0.66","0.28","0.47","0.89","0.012","90.29","38.89","50","60","62.5","17573709"
"404M04599","2016","1.1189545217810402","1.02039598","0.83","0.48","0.77","0.07","1","1","0.48","0.54","0.11","100","80.56","83.33","88","87.5","20365005"
"404M04674","2019","0.6416597812263887","0.43433915","0.52","0.17","1","0","0.35","0.71","0.17","0.24","0.14","73.25","38.89","41.67","48","37.5","20364753"
"408M03005","2015","0.6242235059671332","0.69394777","0.19","0.15","0","0.29","0.29","0","0.15","0.56","0.028","67.67","25","25","36","25","17563950"
"408M03027","2016","0.45096750811815056","0.76969452","0.92","0.47","0.88","0.65","0.78","0.95","0.47","8.2","2.6","90.29","86.11","58.33","74","62.5","948070330"
"408M03036","2016","0.46345799193422205","0.24766058","0.31","0.21","0.15","0","0.8","0.06","0.21","100.0","1.4","73.25","50","50","50","25","17562610"
"408M03038","2017","0.36358965160144285","0.63562256","0.8","0.17","1","1","0.7","0.63","0.17","5.0","1.6","67.67","25","58.33","53","62.5","17563908"
"408M03047","2017","0.39621379088690667","0.64604322","0.59","0.68","0.3","0.16","0.61","0.26","0.68","6.9","3.4","67.67","52.78","75","61","50","17562626"
"408M03047","2017","0.39621379088690667","0.64604322","0.59","0.68","0.3","0.16","0.61","0.26","0.68","6.8","3.4","67.67","52.78","75","61","50","17562626"
"408M03047","2017","0.39621379088690667","0.60289584","0.59","0.68","0.3","0.16","0.61","0.26","0.68","6.9","3.4","67.67","52.78","75","61","50","17562626"
"408M03047","2017","0.39621379088690667","0.60289584","0.59","0.68","0.3","0.16","0.61","0.26","0.68","6.8","3.4","67.67","52.78","75","61","50","17562626"
"408M03051","2019","0.43842473662710774","0.61032721","0.83","0.57","0.9","0.29","0.78","0.7","0.57","9.3","0.79","80.63","77.78","75","71","50","17563970"
"408M03100","2019","0.5399384224010632","0.44616083","0.53","0","0.31","1","0.59","0.51","0","63.0","0.23","62.5","25","41.67","39","25","17562608"
"408M03111","2019","0.24503226902675","0.8310163","0.67","0.58","0.21","0.76","0.67","0.24","0.58","11.0","3.2","78.5","66.67","75","64","37.5","17562626"
"412CE0232","2019","0.3146926653333457","0.71065238","0.28","0.19","0.15","0.69","0.07","0","0.19","7.0","0.12","62.5","25","33.33","36","25","22515812"
"412M08645","2019","0.9642665430475271","0.68225413","0.8","0.63","0.29","0.85","0.73","0.54","0.63","3.6","0.2","67.67","69.44","50","56","37.5","22515734"
"412M08646","2019","0.7137969317133442","0.6284591","0.15","0.21","0","0.25","0","0","0.21","3.6199999999999997","0.07","62.5","25","33.33","36","25","22515818"
"412M08647","2019","0.6643202293168843","0.88337378","0.75","0.26","0.89","0.63","0.46","0.92","0.26","0.24000000000000002","0.08","100","47.22","100","74","50","22514600"
"412WE0552","2019","0.9780517940715424","0.98967407","1.06","0.86","0.87","0.56","0.9","0.8","0.86","0.54","0.11","93.29","63.89","83.33","76","62.5","22514712"
"801M12675","2019","0.5466422385054716","0.49429993","0.6","0.13","0.9","0.12","0.64","0.84","0.13","1.312","0.0846","62.5","33.33","41.67","44","37.5","22560942"
"801M12678","2019","0.8460077757435533","0.69776262","0.81","0.57","0.56","0.46","0.76","0.79","0.57","0.178","0.0509","93.29","80.56","83.33","83","75","22563198"
"801M12684","2019","0.735983337296128","0.40269926","0.43","0","0.46","0.7","0.26","0.55","0","2.6450000000000005","0.0205","62.5","25","33.33","36","25","0"
"801M16908","2016","0.2208911917803545","0.78274644","1.1","0.88","0.89","0.55","1","0.85","0.88","11.0","0.12","93.29","55.56","66.67","66","50","22560628"
"801M16908","2016","0.2208911917803545","0.78274644","1.1","0.88","0.89","0.55","1","0.85","0.88","12.0","0.13","93.29","55.56","66.67","66","50","22560628"
"801M16916","2016","0.6206001077689363","0.73325394","0.93","1","0.34","0.56","0.9","0.44","1","6.6","1.6","100","58.33","58.33","67","50","22560452"
"801M16932","2017","0.3462129447400529","0.78874397","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.6","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16932","2017","0.3462129447400529","0.78874397","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.4","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16932","2017","0.3462129447400529","0.8390293","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.6","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16932","2017","0.3462129447400529","0.8390293","0.81","0.56","0.66","0.57","0.58","0.79","0.56","0.4","0.12","93.29","61.11","83.33","75","62.5","22560574"
"801M16949","2017","0.7174628795483021","0.71202992","0.74","0.6","0.51","0.55","0.63","0.48","0.6","2.6","0.1","73.92","55.56","75","64","50","948070547"
"901M14145","2019","0.6424218134664715","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6285305635730942","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6424218134664715","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6285305635730942","0.58495434","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6424218134664715","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6285305635730942","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.418","0.0451","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6424218134664715","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
"901M14145","2019","0.6285305635730942","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
"901M14149","2019","0.7938296406738676","0.64861394","0.73","0.17","0.66","0.73","0.8","0.82","0.17","0.7","0.205","93.29","69.44","66.67","73","62.5","20348571"
"903M20177","2017","1.0538410184173654","0.76368824","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.017","100","72.22","66.67","75","62.5","20341471"
"903M20177","2017","1.0538410184173654","0.76368824","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.016","100","72.22","66.67","75","62.5","20341471"
"903M20177","2017","1.0538410184173654","0.78420342","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.017","100","72.22","66.67","75","62.5","20341471"
"903M20177","2017","1.0538410184173654","0.78420342","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.016","100","72.22","66.67","75","62.5","20341471"
"903M20208","2017","0.5696049344318032","0.97621669","0.73","0.55","0.74","0.25","0.76","0.48","0.55","30.0","0.1","93.29","61.11","66.67","68","50","20341623"
"903M20213","2017","0.43855696596853394","1.03757337","0.97","1","0.61","0.44","0.89","0.48","1","9.8","0.044","90.29","80.56","50","71","62.5","20341649"
"905BCC","2014","1.0444476915466474","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.23","0.018","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.77383743","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.77383743","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.77383743","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.77383743","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.77383743","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.77383743","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.77383743","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.77383743","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.77383743","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.77383743","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.77383743","1.07","0.67","1","0.61","0.98","0.94","0.67","0.17","0.014","93.29","72.22","91.67","80","62.5","20329660"
